[2026-05-08T19:25:44.183+0530][0.603s][info][gc,heap     ] GC(5) Old regions: 94->115
[2026-05-08T19:25:44.183+0530][0.603s][info][gc,heap     ] GC(5) Humongous regions: 23->23
[2026-05-08T19:25:44.183+0530][0.603s][info][gc,metaspace] GC(5) Metaspace: 171K(384K)->171K(384K) NonClass: 165K(256K)->165K(256K) Class: 6K(128K)->6K(128K)
[2026-05-08T19:25:44.183+0530][0.604s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 141M->142M(500M) 54.265ms
[2026-05-08T19:25:44.183+0530][0.604s][info][gc,cpu      ] GC(5) User=0.09s Sys=0.00s Real=0.06s
[2026-05-08T19:25:44.217+0530][0.638s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-08T19:25:44.217+0530][0.638s][info][gc,task     ] GC(6) Using 2 workers of 2 for evacuation
[2026-05-08T19:25:44.289+0530][0.709s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.2ms
[2026-05-08T19:25:44.289+0530][0.709s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.3ms
[2026-05-08T19:25:44.289+0530][0.709s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 70.3ms
[2026-05-08T19:25:44.289+0530][0.710s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.4ms
[2026-05-08T19:25:44.289+0530][0.710s][info][gc,phases   ] GC(6)   Other: 0.1ms
[2026-05-08T19:25:44.289+0530][0.710s][info][gc,heap     ] GC(6) Eden regions: 21->0(21)
[2026-05-08T19:25:44.289+0530][0.710s][info][gc,heap     ] GC(6) Survivor regions: 4->4(4)
[2026-05-08T19:25:44.289+0530][0.710s][info][gc,heap     ] GC(6) Old regions: 115->137
[2026-05-08T19:25:44.289+0530][0.710s][info][gc,heap     ] GC(6) Humongous regions: 34->34
[2026-05-08T19:25:44.289+0530][0.710s][info][gc,metaspace] GC(6) Metaspace: 171K(384K)->171K(384K) NonClass: 165K(256K)->165K(256K) Class: 6K(128K)->6K(128K)
[2026-05-08T19:25:44.289+0530][0.710s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 174M->174M(500M) 71.935ms
[2026-05-08T19:25:44.289+0530][0.710s][info][gc,cpu      ] GC(6) User=0.14s Sys=0.02s Real=0.07s
[2026-05-08T19:25:44.302+0530][0.723s][info][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-08T19:25:44.302+0530][0.723s][info][gc,task     ] GC(7) Using 2 workers of 2 for evacuation
[2026-05-08T19:25:44.354+0530][0.775s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.2ms
[2026-05-08T19:25:44.354+0530][0.775s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.1ms
[2026-05-08T19:25:44.354+0530][0.775s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 51.4ms
[2026-05-08T19:25:44.354+0530][0.775s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.2ms
[2026-05-08T19:25:44.354+0530][0.775s][info][gc,phases   ] GC(7)   Other: 0.1ms
[2026-05-08T19:25:44.354+0530][0.775s][info][gc,heap     ] GC(7) Eden regions: 21->0(21)
[2026-05-08T19:25:44.354+0530][0.775s][info][gc,heap     ] GC(7) Survivor regions: 4->4(4)
[2026-05-08T19:25:44.354+0530][0.775s][info][gc,heap     ] GC(7) Old regions: 137->158
[2026-05-08T19:25:44.354+0530][0.775s][info][gc,heap     ] GC(7) Humongous regions: 34->34
[2026-05-08T19:25:44.354+0530][0.775s][info][gc,metaspace] GC(7) Metaspace: 171K(384K)->171K(384K) NonClass: 165K(256K)->165K(256K) Class: 6K(128K)->6K(128K)
[2026-05-08T19:25:44.355+0530][0.775s][info][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 195M->196M(500M) 52.517ms
[2026-05-08T19:25:44.355+0530][0.775s][info][gc,cpu      ] GC(7) User=0.05s Sys=0.05s Real=0.05s
[2026-05-08T19:25:44.369+0530][0.790s][info][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-08T19:25:44.369+0530][0.790s][info][gc,task     ] GC(8) Using 2 workers of 2 for evacuation
[2026-05-08T19:25:44.423+0530][0.844s][info][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.2ms
[2026-05-08T19:25:44.423+0530][0.844s][info][gc,phases   ] GC(8)   Merge Heap Roots: 0.1ms
[2026-05-08T19:25:44.423+0530][0.844s][info][gc,phases   ] GC(8)   Evacuate Collection Set: 53.5ms
[2026-05-08T19:25:44.423+0530][0.844s][info][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.3ms
[2026-05-08T19:25:44.423+0530][0.844s][info][gc,phases   ] GC(8)   Other: 0.1ms
[2026-05-08T19:25:44.423+0530][0.844s][info][gc,heap     ] GC(8) Eden regions: 21->0(24)
[2026-05-08T19:25:44.423+0530][0.844s][info][gc,heap     ] GC(8) Survivor regions: 4->4(4)
[2026-05-08T19:25:44.423+0530][0.844s][info][gc,heap     ] GC(8) Old regions: 158->180
[2026-05-08T19:25:44.423+0530][0.844s][info][gc,heap     ] GC(8) Humongous regions: 34->34
[2026-05-08T19:25:44.423+0530][0.844s][info][gc,metaspace] GC(8) Metaspace: 171K(384K)->171K(384K) NonClass: 165K(256K)->165K(256K) Class: 6K(128K)->6K(128K)
[2026-05-08T19:25:44.423+0530][0.844s][info][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 217M->217M(500M) 54.568ms
[2026-05-08T19:25:44.423+0530][0.844s][info][gc,cpu      ] GC(8) User=0.08s Sys=0.02s Real=0.05s
[2026-05-08T19:25:44.435+0530][0.856s][info][gc,start    ] GC(9) Pause Young (Concurrent Start) (G1 Humongous Allocation)
[2026-05-08T19:25:44.435+0530][0.856s][info][gc,task     ] GC(9) Using 2 workers of 2 for evacuation
[2026-05-08T19:25:44.458+0530][0.879s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.2ms
[2026-05-08T19:25:44.458+0530][0.879s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.1ms
[2026-05-08T19:25:44.458+0530][0.879s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 22.2ms
[2026-05-08T19:25:44.458+0530][0.879s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 0.4ms
[2026-05-08T19:25:44.458+0530][0.879s][info][gc,phases   ] GC(9)   Other: 0.2ms
[2026-05-08T19:25:44.458+0530][0.879s][info][gc,heap     ] GC(9) Eden regions: 9->0(30)
[2026-05-08T19:25:44.458+0530][0.879s][info][gc,heap     ] GC(9) Survivor regions: 4->4(4)
[2026-05-08T19:25:44.458+0530][0.879s][info][gc,heap     ] GC(9) Old regions: 180->189
[2026-05-08T19:25:44.458+0530][0.879s][info][gc,heap     ] GC(9) Humongous regions: 34->34
[2026-05-08T19:25:44.458+0530][0.879s][info][gc,metaspace] GC(9) Metaspace: 171K(384K)->171K(384K) NonClass: 165K(256K)->165K(256K) Class: 6K(128K)->6K(128K)
[2026-05-08T19:25:44.459+0530][0.879s][info][gc          ] GC(9) Pause Young (Concurrent Start) (G1 Humongous Allocation) 226M->227M(500M) 23.846ms
[2026-05-08T19:25:44.459+0530][0.879s][info][gc,cpu      ] GC(9) User=0.06s Sys=0.00s Real=0.02s
[2026-05-08T19:25:44.459+0530][0.880s][info][gc          ] GC(10) Concurrent Undo Cycle
[2026-05-08T19:25:44.459+0530][0.880s][info][gc,marking  ] GC(10) Concurrent Clear Claimed Marks
[2026-05-08T19:25:44.459+0530][0.880s][info][gc,marking  ] GC(10) Concurrent Clear Claimed Marks 0.080ms
[2026-05-08T19:25:44.459+0530][0.880s][info][gc,marking  ] GC(10) Concurrent Cleanup for Next Mark
[2026-05-08T19:25:44.459+0530][0.880s][info][gc,marking  ] GC(10) Concurrent Cleanup for Next Mark 0.228ms
[2026-05-08T19:25:44.460+0530][0.880s][info][gc          ] GC(10) Concurrent Undo Cycle 0.883ms
[2026-05-08T19:25:44.498+0530][0.919s][info][gc,start    ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-08T19:25:44.499+0530][0.920s][info][gc,task     ] GC(11) Using 2 workers of 2 for evacuation
[2026-05-08T19:25:44.587+0530][1.008s][info][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 0.2ms
[2026-05-08T19:25:44.587+0530][1.008s][info][gc,phases   ] GC(11)   Merge Heap Roots: 0.3ms
[2026-05-08T19:25:44.587+0530][1.008s][info][gc,phases   ] GC(11)   Evacuate Collection Set: 87.3ms
[2026-05-08T19:25:44.587+0530][1.008s][info][gc,phases   ] GC(11)   Post Evacuate Collection Set: 0.4ms
[2026-05-08T19:25:44.587+0530][1.008s][info][gc,phases   ] GC(11)   Other: 0.1ms
[2026-05-08T19:25:44.587+0530][1.008s][info][gc,heap     ] GC(11) Eden regions: 32->0(32)
[2026-05-08T19:25:44.587+0530][1.008s][info][gc,heap     ] GC(11) Survivor regions: 4->5(5)
[2026-05-08T19:25:44.587+0530][1.008s][info][gc,heap     ] GC(11) Old regions: 189->221
[2026-05-08T19:25:44.588+0530][1.008s][info][gc,heap     ] GC(11) Humongous regions: 50->50
[2026-05-08T19:25:44.588+0530][1.008s][info][gc,metaspace] GC(11) Metaspace: 171K(384K)->171K(384K) NonClass: 165K(256K)->165K(256K) Class: 6K(128K)->6K(128K)
[2026-05-08T19:25:44.588+0530][1.009s][info][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 275M->275M(500M) 89.253ms
[2026-05-08T19:25:44.588+0530][1.009s][info][gc,cpu      ] GC(11) User=0.16s Sys=0.03s Real=0.09s
[2026-05-08T19:25:44.610+0530][1.030s][info][gc,start    ] GC(12) Pause Young (Concurrent Start) (G1 Evacuation Pause)
[2026-05-08T19:25:44.610+0530][1.031s][info][gc,task     ] GC(12) Using 2 workers of 2 for evacuation
[2026-05-08T19:25:44.697+0530][1.118s][info][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.3ms
[2026-05-08T19:25:44.697+0530][1.118s][info][gc,phases   ] GC(12)   Merge Heap Roots: 0.1ms
[2026-05-08T19:25:44.697+0530][1.118s][info][gc,phases   ] GC(12)   Evacuate Collection Set: 85.8ms
[2026-05-08T19:25:44.697+0530][1.118s][info][gc,phases   ] GC(12)   Post Evacuate Collection Set: 0.5ms
[2026-05-08T19:25:44.697+0530][1.118s][info][gc,phases   ] GC(12)   Other: 0.3ms
[2026-05-08T19:25:44.697+0530][1.118s][info][gc,heap     ] GC(12) Eden regions: 37->0(38)
[2026-05-08T19:25:44.697+0530][1.118s][info][gc,heap     ] GC(12) Survivor regions: 5->6(6)
[2026-05-08T19:25:44.697+0530][1.118s][info][gc,heap     ] GC(12) Old regions: 221->257
[2026-05-08T19:25:44.697+0530][1.118s][info][gc,heap     ] GC(12) Humongous regions: 50->50
[2026-05-08T19:25:44.697+0530][1.118s][info][gc,metaspace] GC(12) Metaspace: 171K(384K)->171K(384K) NonClass: 165K(256K)->165K(256K) Class: 6K(128K)->6K(128K)
[2026-05-08T19:25:44.697+0530][1.118s][info][gc          ] GC(12) Pause Young (Concurrent Start) (G1 Evacuation Pause) 312M->313M(500M) 87.871ms
[2026-05-08T19:25:44.698+0530][1.118s][info][gc          ] GC(13) Concurrent Mark Cycle
[2026-05-08T19:25:44.698+0530][1.118s][info][gc,cpu      ] GC(12) User=0.19s Sys=0.00s Real=0.09s
[2026-05-08T19:25:44.698+0530][1.119s][info][gc,marking  ] GC(13) Concurrent Scan Root Regions
[2026-05-08T19:25:44.749+0530][1.169s][info][gc,marking  ] GC(13) Concurrent Scan Root Regions 50.897ms
[2026-05-08T19:25:44.749+0530][1.170s][info][gc,marking  ] GC(13) Concurrent Mark
[2026-05-08T19:25:44.749+0530][1.170s][info][gc,marking  ] GC(13) Concurrent Mark From Roots
[2026-05-08T19:25:44.749+0530][1.170s][info][gc,task     ] GC(13) Using 1 workers of 1 for marking
[2026-05-08T19:25:44.751+0530][1.172s][info][gc,start    ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-08T19:25:44.751+0530][1.172s][info][gc,task     ] GC(14) Using 2 workers of 2 for evacuation
[2026-05-08T19:25:44.901+0530][1.322s][info][gc,phases   ] GC(14)   Pre Evacuate Collection Set: 0.1ms
[2026-05-08T19:25:44.901+0530][1.322s][info][gc,phases   ] GC(14)   Merge Heap Roots: 0.3ms
[2026-05-08T19:25:44.901+0530][1.322s][info][gc,phases   ] GC(14)   Evacuate Collection Set: 148.7ms
[2026-05-08T19:25:44.901+0530][1.322s][info][gc,phases   ] GC(14)   Post Evacuate Collection Set: 0.3ms
[2026-05-08T19:25:44.901+0530][1.322s][info][gc,phases   ] GC(14)   Other: 0.1ms
[2026-05-08T19:25:44.901+0530][1.322s][info][gc,heap     ] GC(14) Eden regions: 38->0(35)
[2026-05-08T19:25:44.901+0530][1.322s][info][gc,heap     ] GC(14) Survivor regions: 6->6(6)
[2026-05-08T19:25:44.901+0530][1.322s][info][gc,heap     ] GC(14) Old regions: 257->296
[2026-05-08T19:25:44.901+0530][1.322s][info][gc,heap     ] GC(14) Humongous regions: 74->74
[2026-05-08T19:25:44.901+0530][1.322s][info][gc,metaspace] GC(14) Metaspace: 171K(384K)->171K(384K) NonClass: 165K(256K)->165K(256K) Class: 6K(128K)->6K(128K)
[2026-05-08T19:25:44.901+0530][1.322s][info][gc          ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 375M->375M(500M) 150.017ms
[2026-05-08T19:25:44.901+0530][1.322s][info][gc,cpu      ] GC(14) User=0.31s Sys=0.00s Real=0.15s
[2026-05-08T19:25:44.904+0530][1.324s][info][gc,marking  ] GC(13) Concurrent Mark From Roots 154.884ms
[2026-05-08T19:25:44.904+0530][1.325s][info][gc,marking  ] GC(13) Concurrent Preclean
[2026-05-08T19:25:44.904+0530][1.325s][info][gc,marking  ] GC(13) Concurrent Preclean 0.026ms
[2026-05-08T19:25:44.904+0530][1.325s][info][gc,start    ] GC(13) Pause Remark
[2026-05-08T19:25:45.154+0530][1.575s][info][gc,mmu      ] GC(13) MMU target violated: 201.0ms (200.0ms/201.0ms)
[2026-05-08T19:25:45.154+0530][1.575s][info][gc          ] GC(13) Pause Remark 379M->345M(500M) 249.896ms
[2026-05-08T19:25:45.154+0530][1.575s][info][gc,cpu      ] GC(13) User=0.50s Sys=0.00s Real=0.25s
[2026-05-08T19:25:45.154+0530][1.575s][info][gc,marking  ] GC(13) Concurrent Mark 405.483ms
[2026-05-08T19:25:45.154+0530][1.575s][info][gc,marking  ] GC(13) Concurrent Rebuild Remembered Sets and Scrub Regions
[2026-05-08T19:25:45.173+0530][1.594s][info][gc,start    ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-08T19:25:45.173+0530][1.594s][info][gc,task     ] GC(15) Using 2 workers of 2 for evacuation
