Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16539104k(7300292k free), swap 22864340k(4694752k free)
CommandLine flags: -XX:InitialHeapSize=209715200 -XX:MaxHeapSize=209715200 -XX:ParallelGCThreads=4 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-07-02T07:39:44.843+0530: 12.384: [Full GC (Ergonomics) [PSYoungGen: 51712K->0K(59904K)] [ParOldGen: 136596K->572K(136704K)] 188308K->572K(196608K), [Metaspace: 3139K->3139K(1056768K)], 0.0059551 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
Heap
 PSYoungGen      total 59904K, used 1034K [0x00000000fbd80000, 0x0000000100000000, 0x0000000100000000)
  eden space 51712K, 2% used [0x00000000fbd80000,0x00000000fbe82a80,0x00000000ff000000)
  from space 8192K, 0% used [0x00000000ff000000,0x00000000ff000000,0x00000000ff800000)
  to   space 8192K, 0% used [0x00000000ff800000,0x00000000ff800000,0x0000000100000000)
 ParOldGen       total 136704K, used 572K [0x00000000f3800000, 0x00000000fbd80000, 0x00000000fbd80000)
  object space 136704K, 0% used [0x00000000f3800000,0x00000000f388f3d0,0x00000000fbd80000)
 Metaspace       used 3145K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 344K, capacity 386K, committed 512K, reserved 1048576K
